,label
0,Lean Left
1,Lean Left
2,Lean Left
3,Lean Left
4,Lean Left
5,Lean Left
6,Lean Left
7,Lean Left
8,Lean Left
9,Lean Left
10,Lean Left
11,Lean Left
12,Lean Left
13,Lean Left
14,Lean Left
15,Lean Left
16,Lean Left
17,Lean Left
18,Lean Left
19,Lean Left
20,Lean Left
21,Lean Left
22,Lean Left
23,Lean Left
24,Lean Left
25,Lean Left
26,Lean Left
27,Lean Left
28,Lean Left
29,Lean Left
30,Lean Left
31,Lean Left
32,Lean Left
33,Lean Left
34,Lean Left
35,Lean Left
36,Lean Left
37,Lean Left
38,Lean Left
39,Lean Left
40,Lean Left
41,Lean Left
42,Lean Left
43,Lean Left
44,Lean Left
45,Lean Left
46,Lean Left
47,Lean Left
48,Lean Left
49,Lean Left
50,Lean Left
51,Lean Left
52,Lean Left
53,Lean Left
54,Lean Left
55,Lean Left
56,Lean Left
57,Lean Left
58,Lean Left
59,Lean Left
60,Lean Left
61,Lean Left
62,Lean Left
63,Lean Left
64,Lean Left
65,Lean Left
66,Lean Left
67,Lean Left
68,Lean Left
69,Lean Left
70,Lean Left
71,Lean Left
72,Lean Left
73,Lean Left
74,Lean Left
75,Lean Left
76,Lean Left
77,Lean Left
78,Lean Left
79,Lean Left
80,Lean Left
81,Lean Left
82,Lean Left
83,Lean Left
84,Lean Left
85,Lean Left
86,Lean Left
87,Lean Left
88,Lean Left
89,Lean Left
90,Lean Left
91,Lean Left
92,Lean Left
93,Lean Left
94,Lean Left
95,Lean Left
96,Lean Left
97,Lean Left
98,Lean Left
99,Lean Left
100,Lean Left
101,Lean Left
102,Lean Left
103,Lean Left
104,Lean Left
105,Lean Left
106,Lean Left
107,Lean Left
108,Lean Left
109,Lean Left
110,Lean Left
111,Lean Left
112,Lean Left
113,Lean Left
114,Lean Left
115,Lean Left
116,Lean Left
117,Lean Left
118,Lean Left
119,Lean Left
120,Lean Left
121,Lean Left
122,Lean Left
123,Lean Left
124,Lean Left
125,Lean Left
126,Lean Left
127,Lean Left
128,Lean Left
129,Lean Left
130,Lean Left
131,Lean Left
132,Lean Left
133,Lean Left
134,Lean Left
135,Lean Left
136,Lean Left
137,Lean Left
138,Lean Left
139,Lean Left
140,Lean Left
141,Lean Left
142,Lean Left
143,Lean Left
