,source,label
0,abcnews,Lean Left
1,abcnews,Lean Left
2,abcnews,Lean Left
3,abcnews,Lean Left
4,abcnews,Lean Left
5,abcnews,Lean Left
6,abcnews,Lean Left
7,abcnews,Lean Left
8,abcnews,Lean Left
9,abcnews,Lean Left
10,abcnews,Lean Left
11,abcnews,Lean Left
12,abcnews,Lean Left
13,abcnews,Lean Left
14,abcnews,Lean Left
15,abcnews,Lean Left
16,abcnews,Lean Left
17,abcnews,Lean Left
18,abcnews,Lean Left
19,abcnews,Lean Left
20,abcnews,Lean Left
21,abcnews,Lean Left
22,abcnews,Lean Left
23,abcnews,Lean Left
24,abcnews,Lean Left
25,abcnews,Lean Left
26,abcnews,Lean Left
27,abcnews,Lean Left
28,abcnews,Lean Left
29,abcnews,Lean Left
30,abcnews,Lean Left
31,abcnews,Lean Left
32,abcnews,Lean Left
33,abcnews,Lean Left
34,abcnews,Lean Left
35,abcnews,Lean Left
36,abcnews,Lean Left
37,abcnews,Lean Left
38,abcnews,Lean Left
39,abcnews,Lean Left
40,abcnews,Lean Left
41,abcnews,Lean Left
42,abcnews,Lean Left
43,abcnews,Lean Left
44,abcnews,Lean Left
45,abcnews,Lean Left
46,abcnews,Lean Left
47,abcnews,Lean Left
48,abcnews,Lean Left
49,abcnews,Lean Left
50,abcnews,Lean Left
51,abcnews,Lean Left
52,abcnews,Lean Left
53,abcnews,Lean Left
54,abcnews,Lean Left
55,abcnews,Lean Left
56,abcnews,Lean Left
57,abcnews,Lean Left
58,abcnews,Lean Left
59,abcnews,Lean Left
60,abcnews,Lean Left
61,abcnews,Lean Left
62,abcnews,Lean Left
63,abcnews,Lean Left
64,abcnews,Lean Left
65,abcnews,Lean Left
66,abcnews,Lean Left
67,abcnews,Lean Left
68,abcnews,Lean Left
69,abcnews,Lean Left
70,abcnews,Lean Left
71,abcnews,Lean Left
72,abcnews,Lean Left
73,abcnews,Lean Left
74,abcnews,Lean Left
75,abcnews,Lean Left
76,abcnews,Lean Left
77,abcnews,Lean Left
78,abcnews,Lean Left
79,abcnews,Lean Left
80,abcnews,Lean Left
81,abcnews,Lean Left
82,abcnews,Lean Left
83,abcnews,Lean Left
84,abcnews,Lean Left
85,abcnews,Lean Left
86,abcnews,Lean Left
87,abcnews,Lean Left
88,abcnews,Lean Left
89,abcnews,Lean Left
90,abcnews,Lean Left
91,abcnews,Lean Left
